Cases,Category,Country,Number of Records,Quality,Year
24000,Irish Whiskey,Australia,1,Standard,1/1/95 12:00:00 AM
33750,Irish Whiskey,Australia,1,Standard,1/1/96 12:00:00 AM
37250,Irish Whiskey,Australia,1,Standard,1/1/97 12:00:00 AM
42200,Irish Whiskey,Australia,1,Standard,1/1/98 12:00:00 AM
44000,Irish Whiskey,Australia,1,Standard,1/1/99 12:00:00 AM
46000,Irish Whiskey,Australia,1,Standard,1/1/00 12:00:00 AM
47000,Irish Whiskey,Australia,1,Standard,1/1/01 12:00:00 AM
48500,Irish Whiskey,Australia,1,Standard,1/1/02 12:00:00 AM
55500,Irish Whiskey,Australia,1,Standard,1/1/03 12:00:00 AM
59750,Irish Whiskey,Australia,1,Standard,1/1/04 12:00:00 AM
60750,Irish Whiskey,Australia,1,Standard,1/1/05 12:00:00 AM
64250,Irish Whiskey,Australia,1,Standard,1/1/06 12:00:00 AM
63000,Irish Whiskey,Australia,1,Standard,1/1/07 12:00:00 AM
59500,Irish Whiskey,Australia,1,Standard,1/1/08 12:00:00 AM
68100,Irish Whiskey,Australia,1,Standard,1/1/09 12:00:00 AM
72250,Irish Whiskey,Australia,1,Standard,1/1/10 12:00:00 AM
80750,Irish Whiskey,Australia,1,Standard,1/1/11 12:00:00 AM
84150,Irish Whiskey,Australia,1,Standard,1/1/12 12:00:00 AM
91350,Irish Whiskey,Australia,1,Standard,1/1/13 12:00:00 AM
103350,Irish Whiskey,Australia,1,Standard,1/1/14 12:00:00 AM
107250,Irish Whiskey,Australia,1,Standard,1/1/15 12:00:00 AM
114000,Irish Whiskey,Australia,1,Standard,1/1/16 12:00:00 AM
13300,Irish Whiskey,Sweden,1,Standard,1/1/90 12:00:00 AM
14500,Irish Whiskey,Sweden,1,Standard,1/1/91 12:00:00 AM
17400,Irish Whiskey,Sweden,1,Standard,1/1/92 12:00:00 AM
22900,Irish Whiskey,Sweden,1,Standard,1/1/93 12:00:00 AM
27400,Irish Whiskey,Sweden,1,Standard,1/1/94 12:00:00 AM
31000,Irish Whiskey,Sweden,1,Standard,1/1/95 12:00:00 AM
34400,Irish Whiskey,Sweden,1,Standard,1/1/96 12:00:00 AM
34050,Irish Whiskey,Sweden,1,Standard,1/1/97 12:00:00 AM
39000,Irish Whiskey,Sweden,1,Standard,1/1/98 12:00:00 AM
44500,Irish Whiskey,Sweden,1,Standard,1/1/99 12:00:00 AM
49500,Irish Whiskey,Sweden,1,Standard,1/1/00 12:00:00 AM
51600,Irish Whiskey,Sweden,1,Standard,1/1/01 12:00:00 AM
51880,Irish Whiskey,Sweden,1,Standard,1/1/02 12:00:00 AM
54600,Irish Whiskey,Sweden,1,Standard,1/1/03 12:00:00 AM
47050,Irish Whiskey,Sweden,1,Standard,1/1/04 12:00:00 AM
46300,Irish Whiskey,Sweden,1,Standard,1/1/05 12:00:00 AM
50950,Irish Whiskey,Sweden,1,Standard,1/1/06 12:00:00 AM
59300,Irish Whiskey,Sweden,1,Standard,1/1/07 12:00:00 AM
65450,Irish Whiskey,Sweden,1,Standard,1/1/08 12:00:00 AM
80930,Irish Whiskey,Sweden,1,Standard,1/1/09 12:00:00 AM
84400,Irish Whiskey,Sweden,1,Standard,1/1/10 12:00:00 AM
87250,Irish Whiskey,Sweden,1,Standard,1/1/11 12:00:00 AM
97400,Irish Whiskey,Sweden,1,Standard,1/1/12 12:00:00 AM
97500,Irish Whiskey,Sweden,1,Standard,1/1/13 12:00:00 AM
95000,Irish Whiskey,Sweden,1,Standard,1/1/14 12:00:00 AM
97000,Irish Whiskey,Sweden,1,Standard,1/1/15 12:00:00 AM
100000,Irish Whiskey,Sweden,1,Standard,1/1/16 12:00:00 AM
250,Irish Whiskey,Poland,1,Standard,1/1/90 12:00:00 AM
0,Irish Whiskey,Poland,1,Standard,1/1/91 12:00:00 AM
250,Irish Whiskey,Poland,1,Standard,1/1/92 12:00:00 AM
250,Irish Whiskey,Poland,1,Standard,1/1/93 12:00:00 AM
800,Irish Whiskey,Poland,1,Standard,1/1/94 12:00:00 AM
1000,Irish Whiskey,Poland,1,Standard,1/1/95 12:00:00 AM
1000,Irish Whiskey,Poland,1,Standard,1/1/96 12:00:00 AM
1250,Irish Whiskey,Poland,1,Standard,1/1/97 12:00:00 AM
1900,Irish Whiskey,Poland,1,Standard,1/1/98 12:00:00 AM
3250,Irish Whiskey,Poland,1,Standard,1/1/99 12:00:00 AM
3750,Irish Whiskey,Poland,1,Standard,1/1/00 12:00:00 AM
3750,Irish Whiskey,Poland,1,Standard,1/1/01 12:00:00 AM
3900,Irish Whiskey,Poland,1,Standard,1/1/02 12:00:00 AM
4700,Irish Whiskey,Poland,1,Standard,1/1/03 12:00:00 AM
8000,Irish Whiskey,Poland,1,Standard,1/1/04 12:00:00 AM
10250,Irish Whiskey,Poland,1,Standard,1/1/05 12:00:00 AM
14000,Irish Whiskey,Poland,1,Standard,1/1/06 12:00:00 AM
22400,Irish Whiskey,Poland,1,Standard,1/1/07 12:00:00 AM
27200,Irish Whiskey,Poland,1,Standard,1/1/08 12:00:00 AM
28100,Irish Whiskey,Poland,1,Standard,1/1/09 12:00:00 AM
32250,Irish Whiskey,Poland,1,Standard,1/1/10 12:00:00 AM
37000,Irish Whiskey,Poland,1,Standard,1/1/11 12:00:00 AM
39550,Irish Whiskey,Poland,1,Standard,1/1/12 12:00:00 AM
51250,Irish Whiskey,Poland,1,Standard,1/1/13 12:00:00 AM
67500,Irish Whiskey,Poland,1,Standard,1/1/14 12:00:00 AM
77900,Irish Whiskey,Poland,1,Standard,1/1/15 12:00:00 AM
96750,Irish Whiskey,Poland,1,Standard,1/1/16 12:00:00 AM
1750,Irish Whiskey,Portugal,1,Standard,1/1/90 12:00:00 AM
2400,Irish Whiskey,Portugal,1,Standard,1/1/91 12:00:00 AM
2500,Irish Whiskey,Portugal,1,Standard,1/1/92 12:00:00 AM
2900,Irish Whiskey,Portugal,1,Standard,1/1/93 12:00:00 AM
3800,Irish Whiskey,Portugal,1,Standard,1/1/94 12:00:00 AM
4200,Irish Whiskey,Portugal,1,Standard,1/1/95 12:00:00 AM
8650,Irish Whiskey,Portugal,1,Standard,1/1/96 12:00:00 AM
14550,Irish Whiskey,Portugal,1,Standard,1/1/97 12:00:00 AM
21200,Irish Whiskey,Portugal,1,Standard,1/1/98 12:00:00 AM
